46953,4355,4375
45465,1345,1355
45465,1345,1355
46953,4340,4370
46953,4340,4370
45465,1315,1330
46953,4300,4355
46953,4300,4355
45465,1320,1325
45465,1320,1325
46953,4300,4355
46953,4300,4355
46953,4300,4355
46953,4300,4355
45465,1320,1325
45465,1320,1325
46953,4300,4355
46953,4300,4355
45465,1310,1320
45465,1310,1320
46953,4280,4340
45465,1325,1335
45465,1325,1335
46953,4310,4340
46953,4310,4340
46953,4310,4345
46953,4310,4345
45465,1330,1335
45465,1330,1335
46953,4310,4355
46953,4310,4355
46953,4310,4355
46953,4310,4355
45465,1330,1335
45465,1330,1335
46953,4310,4355
46953,4310,4355
45465,1325,1335
45465,1325,1335
46953,4295,4355
46953,4295,4355
45465,1330,1335
45465,1330,1335
45465,1330,1335
45465,1330,1335
46953,4300,4355
46953,4300,4355
45465,1330,1335
45465,1330,1335
46953,4300,4355
46953,4300,4355
45465,1325,1335
46953,4300,4355
46953,4300,4355
45465,1325,1335
45465,1325,1335
45465,1350,1355
45465,1350,1355
46953,4335,4390
46953,4335,4390
45465,1350,1355
46953,4335,4385
46953,4335,4385
45465,1340,1355
45465,1340,1355
46953,4335,4385
46953,4335,4385
45465,1340,1350
45465,1340,1350
46953,4335,4385
45465,1340,1350
46953,4335,4375
46953,4335,4375
46953,4335,4370
46953,4335,4370
45465,1340,1345
45465,1340,1345
46953,4335,4385
46953,4335,4385
45465,1340,1345
45465,1340,1345
46953,4335,4370
46953,4335,4370
45465,1340,1345
45465,1340,1345
46953,4335,4370
46953,4335,4370
45465,1340,1345
45465,1340,1345
46953,4335,4370
46953,4335,4370
45465,1335,1345
45465,1335,1345
45465,1335,1345
45465,1335,1345
46953,4335,4370
46953,4335,4370
45465,1335,1340
45465,1335,1340
46953,4335,4350
46953,4335,4350
45465,1330,1340
45465,1330,1340
46953,4335,4350
46953,4335,4350
45465,1330,1340
45465,1330,1340
46953,4335,4360
46953,4335,4360
45465,1330,1340
45465,1330,1340
46953,4335,4360
46953,4335,4360
45465,1320,1330
45465,1320,1330
46953,4285,4340
46953,4285,4340
45465,1320,1330
45465,1320,1330
46953,4285,4340
46953,4285,4340
46953,4285,4340
45465,1320,1330
45465,1320,1330
46953,4285,4340
46953,4285,4340
45465,1320,1330
45465,1320,1330
46953,4285,4340
46953,4285,4340
46953,4285,4340
46953,4285,4340
45465,1320,1330
45465,1320,1330
46953,4285,4340
46953,4285,4340
45465,1320,1330
45465,1320,1330
45465,1325,1330
45465,1325,1330
46953,4285,4340
46953,4285,4340
45465,1335,1340
45465,1335,1340
46953,4285,4340
46953,4285,4340
45465,1330,1340
45465,1330,1340
46953,4285,4340
46953,4285,4340
45465,1330,1340
45465,1330,1340
46953,4285,4340
46953,4285,4340
45465,1330,1340
45465,1330,1340
46953,4285,4340
46953,4285,4340
45465,1335,1340
45465,1335,1340
46953,4305,4340
46953,4305,4340
45465,1335,1340
45465,1335,1340
46953,4315,4340
46953,4315,4340
45465,1340,1350
45465,1340,1350
46953,4330,4390
46953,4330,4390
45465,1340,1355
46953,4345,4395
46953,4345,4395
46953,4345,4395
46953,4345,4395
45465,1335,1345
46953,4345,4395
46953,4345,4395
45465,1330,1340
45465,1330,1340
46953,4330,4395
46953,4330,4395
45465,1330,1340
45465,1330,1340
45465,1330,1340
45465,1330,1340
46953,4330,4370
46953,4330,4370
45465,1330,1340
45465,1330,1340
46953,4330,4370
46953,4330,4370
45465,1330,1335
45465,1330,1335
46953,4325,4370
46953,4325,4370
45465,1330,1335
45465,1330,1335
46953,4315,4370
46953,4315,4370
46953,4320,4370
45465,1330,1335
45465,1330,1335
46953,4330,4370
46953,4330,4370
45465,1330,1335
45465,1330,1335
46953,4325,4370
46953,4325,4370
45465,1330,1335
45465,1330,1335
46953,4325,4370
45465,1325,1335
45465,1325,1335
46953,4310,4370
46953,4310,4370
45465,1320,1330
45465,1320,1330
46953,4325,4350
46953,4325,4350
45465,1325,1335
45465,1325,1335
46953,4325,4350
46953,4325,4350
45465,1325,1335
45465,1325,1335
45465,1325,1340
45465,1325,1340
46953,4325,4350
46953,4325,4350
45465,1330,1335
46953,4325,4350
46953,4325,4350
45465,1330,1335
45465,1330,1335
46953,4325,4350
46953,4325,4350
45465,1330,1335
45465,1330,1335
46953,4340,4360
46953,4340,4360
45465,1330,1340
45465,1330,1340
46953,4340,4360
46953,4340,4360
45465,1330,1340
46953,4345,4375
46953,4345,4375
46953,4340,4375
46953,4340,4375
45465,1330,1340
45465,1330,1340
46953,4345,4390
46953,4345,4390
45465,1330,1340
45465,1330,1340
46953,4340,4385
46953,4340,4385
45465,1330,1340
45465,1330,1340
46953,4340,4385
46953,4340,4385
45465,1335,1340
45465,1335,1340
45465,1335,1350
45465,1335,1350
45465,1335,1350
46953,4355,4400
46953,4355,4400
45465,1330,1340
45465,1330,1340
46953,4355,4400
46953,4355,4400
45465,1330,1340
45465,1330,1340
46953,4355,4400
46953,4355,4400
45465,1330,1340
45465,1330,1340
46953,4360,4395
46953,4360,4395
45465,1330,1340
45465,1330,1340
